method,solution,cut_value,execution_time,trial_seed,quality,graph_name,exact_optimum,schema_version
Tabu Search,"[1, 1, 1, 0, 0, 0, 1, 0]",16,2.0996532440185547,3625,1.0,K8,16,1
Tabu Search,"[1, 0, 0, 1, 0, 1, 1, 0]",16,2.0996339321136475,6815,1.0,K8,16,1
Tabu Search,"[0, 1, 0, 1, 0, 1, 0, 1]",16,2.0999300479888916,9395,1.0,K8,16,1
Tabu Search,"[1, 0, 1, 1, 0, 0, 0, 1]",16,2.1045470237731934,6507,1.0,K8,16,1
Tabu Search,"[1, 0, 0, 1, 1, 0, 0, 1]",16,2.09958815574646,5223,1.0,K8,16,1
Tabu Search,"[1, 1, 1, 0, 0, 1, 0, 0]",16,2.1347949504852295,3269,1.0,K8,16,1
Tabu Search,"[0, 0, 1, 0, 1, 1, 0, 1]",16,2.1280319690704346,9750,1.0,K8,16,1
Tabu Search,"[1, 1, 0, 0, 1, 0, 0, 1]",16,2.1003620624542236,1035,1.0,K8,16,1
Tabu Search,"[0, 0, 1, 1, 0, 1, 1, 0]",16,2.1007509231567383,8425,1.0,K8,16,1
Tabu Search,"[1, 0, 0, 1, 1, 1, 0, 0]",16,2.100538969039917,7072,1.0,K8,16,1
Tabu Search,"[1, 1, 0, 0, 1, 0, 1, 0]",16,2.103645086288452,3377,1.0,K8,16,1
Tabu Search,"[0, 0, 0, 1, 1, 1, 0, 1]",16,2.1015608310699463,4043,1.0,K8,16,1
Tabu Search,"[1, 1, 1, 0, 1, 0, 0, 0]",16,2.2024457454681396,9307,1.0,K8,16,1
Tabu Search,"[0, 0, 0, 1, 1, 1, 1, 0]",16,2.100486993789673,9697,1.0,K8,16,1
Tabu Search,"[0, 1, 1, 0, 1, 1, 0, 0]",16,2.1003730297088623,7883,1.0,K8,16,1
Classical SA (Metropolis),"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",13,0.011311769485473633,8649,1.0,R10,13,1
Classical SA (Metropolis),"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",13,0.011270999908447266,8517,1.0,R10,13,1
Classical SA (Metropolis),"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",13,0.011144876480102539,3034,1.0,R10,13,1
Classical SA (Metropolis),"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",13,0.010992765426635742,2588,1.0,R10,13,1
Classical SA (Metropolis),"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",13,0.011100053787231445,2648,1.0,R10,13,1
Classical SA (Metropolis),"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",13,0.011434078216552734,4362,1.0,R10,13,1
Classical SA (Metropolis),"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",13,0.010927200317382812,9379,1.0,R10,13,1
Classical SA (Metropolis),"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",13,0.01161503791809082,6995,1.0,R10,13,1
Classical SA (Metropolis),"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",13,0.010971307754516602,6576,1.0,R10,13,1
Classical SA (Metropolis),"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",13,0.010981082916259766,2186,1.0,R10,13,1
Classical SA (Metropolis),"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,0.011044979095458984,6644,1.0,R10,13,1
Classical SA (Metropolis),"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",13,0.011068105697631836,7814,1.0,R10,13,1
Classical SA (Metropolis),"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,0.019389867782592773,3138,1.0,R10,13,1
Classical SA (Metropolis),"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,0.011059284210205078,6062,1.0,R10,13,1
Classical SA (Metropolis),"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",13,0.01103520393371582,3382,1.0,R10,13,1
Classical SA (Metropolis),"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,0.015569925308227539,6525,1.0,R10,13,1
Classical SA (Metropolis),"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",13,0.011296987533569336,4263,1.0,R10,13,1
Classical SA (Metropolis),"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",13,0.011011123657226562,8454,1.0,R10,13,1
Classical SA (Metropolis),"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,0.011026859283447266,9819,1.0,R10,13,1
Classical SA (Metropolis),"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,0.013026237487792969,3219,1.0,R10,13,1
Tabu Search,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,2.112694025039673,8649,1.0,R10,13,1
Tabu Search,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",13,2.100228786468506,8517,1.0,R10,13,1
Tabu Search,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",13,2.1003503799438477,3034,1.0,R10,13,1
Tabu Search,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",13,2.09968900680542,2588,1.0,R10,13,1
Tabu Search,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",13,2.1003239154815674,2648,1.0,R10,13,1
Tabu Search,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,2.1000466346740723,4362,1.0,R10,13,1
Tabu Search,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",13,2.0996642112731934,9379,1.0,R10,13,1
Tabu Search,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,2.0998570919036865,6995,1.0,R10,13,1
Tabu Search,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",13,2.099532127380371,6576,1.0,R10,13,1
Tabu Search,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",13,2.099522829055786,2186,1.0,R10,13,1
Tabu Search,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,2.114611864089966,6644,1.0,R10,13,1
Tabu Search,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,2.100429058074951,7814,1.0,R10,13,1
Tabu Search,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,2.0998828411102295,3138,1.0,R10,13,1
Tabu Search,"[0, 1, 1, 1, 0, 0, 0, 1, 0, 1]",13,2.100466012954712,6062,1.0,R10,13,1
Tabu Search,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,2.1009929180145264,3382,1.0,R10,13,1
Tabu Search,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",13,2.101165771484375,6525,1.0,R10,13,1
Tabu Search,"[0, 1, 1, 1, 1, 0, 0, 0, 0, 1]",13,2.1001110076904297,4263,1.0,R10,13,1
Tabu Search,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,2.0995540618896484,8454,1.0,R10,13,1
Tabu Search,"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",13,2.1004738807678223,9819,1.0,R10,13,1
Tabu Search,"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",13,2.1024701595306396,3219,1.0,R10,13,1
Classical SA (Metropolis),"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",16,0.013704061508178711,2674,1.0,R12,16,1
Classical SA (Metropolis),"[0, 0, 1, 1, 0, 1, 0, 0, 1, 1, 0, 1]",16,0.013241052627563477,6940,1.0,R12,16,1
Classical SA (Metropolis),"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]",16,0.013525009155273438,3522,1.0,R12,16,1
Classical SA (Metropolis),"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",16,0.013738870620727539,8155,1.0,R12,16,1
Classical SA (Metropolis),"[1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 1]",16,0.014138936996459961,6248,1.0,R12,16,1
Classical SA (Metropolis),"[1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0]",16,0.013594865798950195,4197,1.0,R12,16,1
Classical SA (Metropolis),"[0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1]",16,0.013621807098388672,2340,1.0,R12,16,1
Classical SA (Metropolis),"[1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]",16,0.013658761978149414,6725,1.0,R12,16,1
Classical SA (Metropolis),"[0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0]",16,0.013387203216552734,4291,1.0,R12,16,1
